city,rooms,m2,repair,floor,all_floor,real_price
1,1,25,3,1,5,6000000
1,2,55,1,5,17,18000000
1,1,40,1,17,25,17900000
1,4,76,1,2,9,23750000
1,1,36,2,1,5,21483000
1,1,19,1,3,6,15200000
1,3,81,2,3,15,46000000
1,3,79,1,8,9,47000000
1,1,34,3,2,8,10000000
1,3,161,1,5,9,35500000
1,2,56,3,28,52,26831277
1,3,101,1,3,30,54843680
1,1,37,3,3,23,11851965
1,2,71,1,24,40,40918050
1,3,91,3,2,20,50880957
1,1,34,3,14,23,9926683
1,4,208,3,9,11,287934400
1,3,65,1,16,23,26306910
1,2,63,3,19,43,33345900
1,3,102,1,2,8,75000000
1,2,41,1,6,16,16498778
1,3,146,3,6,11,190634480
1,2,85,3,6,11,90818442
1,1,35,2,34,58,21796416
1,3,135,3,12,22,79493785
1,2,74,3,22,52,26831277
1,2,76,3,26,27,38429793
1,2,57,1,10,13,40497780
1,2,50,3,9,43,26724390
1,2,70,3,14,18,25820613
1,2,54,3,27,43,29003400
1,4,102,3,27,34,55182340
1,1,30,3,22,34,22704000
1,1,46,3,12,42,28434480
1,2,56,1,4,10,9700000
1,1,30,3,44,47,14687780
1,2,49,1,5,10,63584348
1,3,96,2,3,13,86486461
1,2,63,2,7,28,23510171
1,3,97,3,5,5,118543863
1,3,90,1,9,16,47508184
1,3,114,3,7,8,82555118
1,3,108,1,8,10,111196891
1,2,69,1,7,9,29701652
1,3,127,3,12,24,57885649
1,1,39,1,5,7,25897111
1,2,89,3,2,5,43554581
1,2,62,1,1,36,82422854
1,3,135,1,21,38,72125496
1,2,57,2,13,21,31510385
1,3,68,1,4,5,115116502
1,1,23,2,15,22,22491104
1,1,46,1,7,19,22195399
1,2,66,1,1,5,40764315
1,3,98,2,14,25,108900631
1,1,44,1,23,33,7423338
1,3,172,3,10,24,55223247
1,1,25,3,13,33,30980205
1,2,51,3,5,30,45301030
1,2,62,1,4,21,45134029
1,3,80,1,10,39,66881354
1,1,26,3,11,14,24952245
1,3,130,2,14,33,45056384
1,1,45,3,2,14,19241121
1,4,85,2,10,18,203497040
1,4,221,1,17,29,130323256
1,3,111,1,10,12,65879676
1,3,83,3,24,28,46621753
1,3,94,1,2,5,65134312
1,4,173,1,3,5,272208530
1,3,96,3,26,35,146464485
1,2,69,1,4,15,14729716
1,2,63,1,6,6,13304515
1,2,67,1,3,5,38871875
1,2,55,1,3,22,77064032
1,2,66,3,2,5,61744368
1,3,109,3,1,5,156567630
1,1,36,1,4,5,24347267
1,3,125,3,23,28,39960343
1,1,29,3,13,34,11992656
1,2,57,3,27,28,19544304
1,2,70,1,30,36,55566305
1,1,26,1,25,34,10138155
1,2,48,1,4,6,32513283
1,3,145,3,22,44,226756650
1,3,105,1,1,21,23497412
1,2,46,2,42,59,8724709
1,2,78,3,14,29,62794127
1,3,84,1,15,31,23394471
1,2,39,3,6,30,24090415
1,3,140,3,33,50,100594210
1,3,154,1,7,24,91521418
1,1,32,3,3,38,19704427
1,3,85,1,12,29,23890754
1,1,41,3,11,34,28619236
1,3,115,1,8,15,8456205
1,1,32,1,3,20,15276763
1,1,14,1,2,18,20872606
2,2,45,2,4,5,6300000
2,6,206,2,1,2,39000000
2,3,110,1,6,9,21999000
2,1,36,2,7,9,4900000
